Sl. No.,Metric Name,Definition,Preferred Direction
1887,Object365,A metric used to evaluate the performance of object detection models,Higher
1888,Objects Recall@5,Objects Recall at 5,Higher
1889,ODS,Object detection score for a semantic segmentation task.,Higher
1890,odsF,Object Detection Score F1,Higher
1891,Offensive,Offensive,N/A
1892,OffRoadRate,A metric used to measure the performance of a self-driving car .,Lower
1893,Open,A metric for visual question answering that measures performance on open-ended questions.,Higher
1894,Open-mIoU,Open mean intersection over union,Higher 
1895,Operations per network pass,Operations per network pass,Lower
1896,ORD,Object Recognition Accuracy,Higher 
1897,ORD,ORD,N/A
1898,Orientation Error,A metric used to measure the performance of a pose estimation system .,Lower
1899,OSE,Object Scale Estimation,N/A
1900,other,Other metrics,Not Clear
1901,Out-of-domain,A metric for natural language understanding that measures performance on out-of-domain examples.,Lower
1902,Over,Measures the accuracy of object detection models,Higher 
1903,Overall,Overall accuracy,Higher
1904,overall,The overall accuracy of a model,Higher
1905,Overall (answers),Overall accuracy across all answers in a question answering task.,Higher
1906,Overall (Top5 mAP),A metric used to evaluate the performance of object detection models,Higher
1907,Overall (w/ conditions),Overall score on a specific task with certain conditions applied,Higher
1908,Overall Accuracy,Overall classification accuracy,Higher
1909,Overall accuracy after last sequence,The overall accuracy of a model after the last sequence.,Higher
1910,Overall EM,A metric used to evaluate the performance of recommendation models,Higher
1911,Overall F1,A metric used to evaluate the performance of multi-class classification models,Higher
1912,Overall IoU,A metric used to evaluate the performance of object detection models,Higher
1913,Overall: F1,Overall F1 score,Higher 
1914,P,Precision in a binary classification task,Higher
1915,P-IDS,Person identification accuracy,Higher 
1916,P-MPJPE,Procrustes mean per joint position error,Lower 
1917,P@1,Precision at 1,Higher 
1918,P@10,Precision at 10,Higher 
1919,P@10%,A metric used to evaluate the performance of recommendation models,Higher
1920,P@3,Precision at 3,Higher 
1921,P@30%,Precision at 30%,Higher
1922,P@5,Precision at 5 for recommendation system,Higher
1923,P@50K,A metric used to evaluate the performance of recommendation models,Higher
1924,P@5K,Precision at 5K,Higher
1925,P2S (cm),Point-to-Surface distance in centimeters,Lower
1926,PA,PA,Higher 
1927,PA-F@15mm,Precision and recall for face detection,Higher
1928,PA-F@5mm,A metric used to evaluate the performance of pose estimation models,Higher
1929,PA-MPJPE,Procrustes Aligned Mean Per Joint Position Error (PA-MPJPE) measures the average distance between predicted and ground truth joint positions after aligning them using Procrustes analysis.,Lower
1930,PA-MPVPE,Pixel Accuracy Mean Per-View Pose Error,Higher
1931,Pair-level 13-class Acc,A metric used to measure the performance of a speaker verification system .,Higher
1932,Pair-level 4-class Acc,Accuracy of predicting the pairwise relationships among four classes,Higher
1933,Pair-level 6-class Acc,Pair-level 6-class accuracy,Higher 
1934,pair-wise Recall@16,Pair-wise recall at 16,-
1935,pair-wise Recall@2,The pair-wise recall of a model with a threshold of 2,Higher
1936,pair-wise Recall@4,Pair-wise recall at 4,Higher 
1937,pair-wise Recall@8,Pair-wise recall at 8,Higher
1938,pairwise accuracy,Pairwise Accuracy,Higher
1939,Param.,A metric used to measure the number of parameters in a machine learning model .,Lower
1940,Parameters,Parameters,N/A
1941,Parameters (M),Measures the number of trainable parameters in a neural network model,Lower 
1942,Parameters(M),A metric used to evaluate the performance of machine learning models,Lower
1943,PARAMS,Number of model parameters,Lower 
1944,Params,Parameters,Lower 
1945,Params (M),Number of parameters in millions in a machine learning model or neural network architecture.,-
1946,Params(M),Number of model parameters in millions.,Lower
1947,PARENT,The PARENT score of a model,Higher
1948,Part IoU,Intersection over union for parts in 3D object segmentation,Higher 
1949,Partial MR^-2,The partial MR^-2 score of a model,Higher
1950,PartPQ,PartPQ,-
1951,Pass@1,Pass at 1,Higher
1952,Pass@10,Pass at 10,Higher
1953,Pass@100,Pass at 100,-
1954,Pass@64,A metric used to evaluate the performance of question answering models,Higher
1955,Pass@8,Pass at 8 detections,Higher
1956,Patch Matching,Patch Matching is a metric used to evaluate image registration models in medical image analysis tasks. It measures how well predicted image patches match ground truth patches using normalized cross-correlation metrics.,Higher
1957,Patch Retrieval,Patch Retrieval,N/A
1958,Patch Verification,Patch Verification,N/A
1959,Pathfinder,A metric used to measure the performance of a natural language processing system .,Higher
1960,Pathfinder-X,Pathfinder-X,N/A
1961,PCC,A metric used to measure the correlation between two variables .,Higher
1962,PCDR,A metric used to evaluate the performance of object detection models,Higher
1963,PCDR-Adult,PCDR for Adult,N/A
1964,PCDR-Kid,PCDR-Kid,-
1965,PCDR-Teen,Percentage of correct detections in a pedestrian detection task for teenagers.,Higher
1966,PCK,Percentage of Correct Keypoints,Higher
1967,PCK (weak),Percentage of correct keypoints at a threshold of 0.1 times the object size.,Higher
1968,PCK-1px,Percentage of correctly localized keypoints within one pixel in an image keypoint detection task.,Higher
1969,PCK-3px,Percentage of correct keypoint predictions within 3 pixels of the ground truth in a human pose estimation task.,Higher
1970,PCK-5px,Percentage of Correct Keypoints on 5 pixels,Higher
1971,PCK@0.1,A metric used to measure the performance of a pose estimation system .,Higher
1972,PCK@0.2,A metric used to measure the performance of a pose estimation system .,Higher
1973,PCK@0.3,Percentage of correct keypoints at a distance threshold of 0.3 pixels,Higher
1974,PCK@0.4,A metric used to evaluate the performance of pose estimation models,Higher
1975,PCK@0.5,A metric used to measure the performance of a pose estimation system .,Higher
1976,PCK3D (CA),The PCK3D score of a model on the CA dataset,Higher
1977,PCK3D (CS),The percentage of correct keypoints in 3D space,Higher
1978,PCKh,The percentage of correct keypoints with a threshold of half the head size,Higher
1979,PCKh-0.5,Percentage of Correct Keypoints with a threshold of 0.5,Higher
1980,PCKh@0.1,Percentage of correct keypoints at 0.1,Higher 
1981,PCKh@0.2,Percentage of correct keypoints at a threshold of 0.2 times head size,Higher
1982,PCKh@0.5,Percentage of Correct Keypoints at 0.5,Higher
1983,PCM,The PCM score of a model,Higher
1984,PCM-F1 (dev),The F1 score of a model on the PCM dataset with the development set,Higher
1985,PCM-F1 (test),A metric used to evaluate the performance of natural language processing models,Higher
1986,PD,PD,Higher 
1987,PDJ@5mm,Probability of detection jitter at 5mm,Higher 
1988,Pearson Correlation,Pearson correlation coefficient between predicted and actual values in a regression task.,Higher
1989,Pearson Correlation Coefficient,A metric used to measure the correlation between two variables .,Higher
1990,Pearson correlation coefficient (PCC),A measure of the linear correlation between two variables.,Higher
1991,Pearson Correlation Global,Correlation coefficient between two variables,Higher 
1992,Pearson R,A metric used to evaluate the correlation between two variables,Higher
1993,PER,Measures the error rate in speech recognition models,Lower 
1994,Per-class Accuracy,A metric used to measure the performance of an object detection system .,Higher
1995,Per-Class Accuracy,Per-Class Accuracy,Higher
1996,Per-Class Accuracy (1-shot),The per-class accuracy of a model with one shot,Higher
1997,Per-Class Accuracy (10-shots),The accuracy of a model on a 10-shot classification task,Higher
1998,Per-Class Accuracy (2-shots),A metric used to evaluate the performance of few-shot learning models,Higher
1999,Per-Class Accuracy (2-shots),The per-class accuracy in a few-shot classification task with two shots per class.,Higher
2000,Per-Class Accuracy (20-shots),A metric used to evaluate the performance of classification models,Higher
2001,Per-Class Accuracy (5-shots),Per-Class Accuracy on 5-shots,Higher
2002,Per-class Accuracy (Agree),Per-class accuracy (agree),Higher 
2003,Per-class Accuracy (Disagree),Per-class Accuracy for Disagree,Higher
2004,Per-class Accuracy (Discuss),Per-class Accuracy (Discuss),Higher
2005,Per-class Accuracy (Unrelated),A metric used to evaluate the performance of text classification models,Higher
2006,Per-face accuracy,A metric used to evaluate 3D face reconstruction models. It measures the accuracy of predicted 3D face meshes compared to ground truth meshes on a per-face basis using various metrics such as Chamfer distance or Normalized Mean Error (NME). Lower values indicate better performance.,Lower
2007,Per-face IoU,The intersection over union of a model on a per-face basis,Higher
2008,Per-pixel Accuracy,Per-pixel Accuracy,Higher
2009,Percentage correct,A metric used to evaluate the performance of classification models,Higher
2010,Percentage Error,A metric used to measure the performance of a regression system .,Lower
2011,Percentage error,A metric used to evaluate the performance of regression models,Lower
2012,PERCENTAGE ERROR,Percentage Error,Lower
2013,Perceptual Index,The perceptual index score of a model,Higher
2014,perceptual loss,The difference between the predicted and ground truth images in a perceptual space,Lower
2015,Permuted Accuracy,Accuracy of a permutation task,Higher
2016,Perplexity,Perplexity,Lower
2017,PERR,Per-response error rate for open-domain dialogue task,Lower 
2018,PESQ,The PESQ score of a model,Higher
2019,PESQ-NB,A metric used to measure the quality of a speech signal .,Higher
2020,PHP,A metric used to evaluate the performance of text classification models,Higher
2021,Physical Appearance,"A term used to describe how someone looks physically. In some contexts, it may refer to how someone presents themselves or their style.",N/A
2022,PhysioNet Challenge score (test data),The score of a model on the PhysioNet Challenge test data,Higher
2023,PhysioNet Challenge score 2020 (validation data),PhysioNet Challenge score 2020 (validation data),Higher
2024,PhysioNet Challenge score 2021,PhysioNet Challenge score 2021,Higher 
2025,PhysioNet/CinC Challenge Score(stratified10-fold),The PhysioNet/CinC Challenge score of a model with a stratified 10-fold,Higher
2026,PIQE,A metric used to measure the quality of a image .,Higher
2027,Pixel Accuracy,The percentage of pixels that are correctly classified,Higher
2028,pixel accuracy,Pixel Accuracy,Higher
2029,Pixel Error,A metric used to evaluate the performance of pose estimation models,Lower
2030,Pixel IoU,Pixel Intersection over Union,Higher
2031,Plausibility,A metric for natural language generation that measures the plausibility of generated text.,Higher
2032,PLCC,Pearson Linear Correlation Coefficient,Higher
2033,Pleasantness MOS,Pleasantness Mean Opinion Score (MOS) is a metric used to evaluate speech synthesis models. It measures how pleasant or natural synthesized speech sounds to human listeners using subjective ratings.,Higher
2034,PlogP Top-3,Log Probability of Top-3,Higher
2035,PNSR,Peak signal-to-noise ratio,Higher
2036,Point-to-surface distance (cm),Point-to-surface distance in centimeters,Lower
2037,Pointing Game Accuracy,Accuracy of a Pointing Game task,Higher
2038,POS,The part-of-speech tag of a word,Not Clear
